Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Asus Vivobook M1503QA-L1028W (AMD Ryzen5-5600H) (Xanh),16790000,ASUS,"AMD Ryzen 5 5600H ( 3.3 GHz - 4.2 GHz / 16MB / 6 nhân, 12 luồng ) Ryzen 5 5600H",8,15.6,Onboard  AMD Radeon Graphics,SSD,512,Windows 11 Home  Windows 11,1.7,,,Phongvu,https://phongvu.vn/asus-vivobook-m1503qa-l1028w--s220801584?sku=220801584
Laptop Lenovo Ideapad 3 - 15IAU7 -82RK005KVN (i3-1215U) (Xanh),12490000,Lenovo,"Intel Core i3-1215U ( 1.2 GHz - 4.4GHz / 10MB / 6 nhân, 8 luồng ) i3-1215U",8,15.6,Onboard  Intel UHD Graphics,SSD,256,Windows 11 Home  Windows 11,1.6,,,Phongvu,https://phongvu.vn/laptop-lenovo-ideapad-3-15iau7-82rk005kvn--s220801874?sku=220801874
Laptop Lenovo Ideapad 3 - 15IAU7 -82RK001GVN (i3-1215U) (Xanh),13290000,Lenovo,"Intel Core i3-1215U ( 1.2 GHz - 4.4GHz / 10MB / 6 nhân, 8 luồng ) i3-1215U",8,15.6,Onboard  Intel UHD Graphics,SSD,512,Windows 11 Home  Windows 11,1.6,,,Phongvu,https://phongvu.vn/laptop-lenovo-ideapad-3-15iau7-82rk001gvn--s220801875?sku=220801875
Laptop Lenovo Ideapad Gaming 3 - 15IAH7 -82S9007UVN (i7-12700H) (Trắng),29090000,Lenovo,"Intel Core i7-12700H ( 2.3 GHz - 4.7GHz / 24MB / 14 nhân, 20 luồng ) i7-12700H",8,15.6,RTX 3050Ti  4GB  GDDR6 / Intel Iris Xe Graphics,SSD,512,Windows 11 Home  Windows 11,2.2,,,Phongvu,https://phongvu.vn/laptop-lenovo-ideapad-gaming-3-15iah7-82s9007uvn--s220801882?sku=220801882
Laptop Lenovo Ideapad Gaming 3 - 15ARH7 -82SB007HVN (AMD Ryzen 7-6800H) (Xám),24990000,Lenovo,"AMD Ryzen 7 6800H ( 3.2 GHz - 4.7 GHz / 16MB / 8 nhân, 16 luồng ) Ryzen 7 6800H",8,15.6,RTX 3050  4GB  GDDR6 / AMD Radeon 680M,SSD,512,Windows 11 Home  Windows 11,2.3,,,Phongvu,https://phongvu.vn/laptop-lenovo-ideapad-gaming-3-15arh7-82sb007hvn--s220801890?sku=220801890
Laptop Lenovo Legion 5 - 15ARH7 -82RE0035VN (AMD Ryzen 7-6800H) (Xám),30590000,Lenovo,"AMD Ryzen 7 6800H ( 3.2 GHz - 4.7 GHz / 16MB / 8 nhân, 16 luồng ) Ryzen 7 6800H",8,15.6,RTX 3050  4GB  GDDR6 / AMD Radeon 680M,SSD,512,Windows 11 Home  Windows 11,2.3,,,Phongvu,https://phongvu.vn/laptop-lenovo-legion-5-15arh7-82re0035vn--s220801892?sku=220801892
Laptop HP  EliteBook 640 G9 (6M154PA) (i5-1235U) (Bạc),20590000,HP,"Intel Core i5-1235U ( 1.3 GHz - 4.4GHz / 12MB / 10 nhân, 12 luồng ) i5-1235U",8,14,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 11 Home  Windows 11,1.7,,,Phongvu,https://phongvu.vn/laptop-hp-elitebook-640-g9-6m154pa--s220802102?sku=220802102
Laptop HP EliteBook 640 G9 (6M156PA) (i7-1255U) (Bạc),24290000,HP,"Intel Core i7-1255U ( 1.7 GHz - 4.7 GHz / 12MB / 10 nhân, 12 luồng ) i7-1255U",8,14,Onboard  Intel Iris Xe Graphics,SSD,512,Windows 11 Home  Windows 11,1.7,,,Phongvu,https://phongvu.vn/laptop-hp-elitebook-640-g9-6m156pa--s220802103?sku=220802103
Laptop Lenovo IdeaPad Gaming 3 15IAH7-82S900V3VN (i5-12500H) (Trắng),24290000,Lenovo,"Intel Core i5-12500H ( 2.5 GHz - 4.5 GHz / 18MB / 12 nhân, 16 luồng ) i5-12500H",8,15.6,RTX 3050  4GB  GDDR6 / Intel Iris Xe Graphics,SSD,512,Windows 11 Home  Windows 11,2.3,,,Phongvu,https://phongvu.vn/laptop-lenovo-ideapad-gaming-3-15iah7-82s900v3vn-i5-12500h-trang--s220806149?sku=220806149
Laptop Lenovo Legion 5 Pro 16IAH7H-82RF0044VN (i7-12700H) (Xám),51390000,Lenovo,"Intel Core i7-12700H ( 2.3 GHz - 4.7GHz / 24MB / 14 nhân, 20 luồng ) i7-12700H",8,16,RTX 3070Ti  8GB  GDDR6 / Intel Iris Xe Graphics,SSD,512,Windows 11 Home SL  Windows 11,2.5,,,Phongvu,https://phongvu.vn/laptop-lenovo-legion-5-pro-16iah7h-82rf0044vn--s220902855?sku=220902855
