Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Dell Vostro 5620 i5 1240P/8GB/256GB/OfficeHS/Win11 (V6I5001W1),22190000,Dell,Intel Core i5 Tiger Lake,8,16,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),SSD,256 GB SSD NVMe PCIe,Windows 11 Home SL + Office Home & Student vĩnh viễn,1.97,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/dell-vostro-5620-i5-v6i5001w1
Laptop Asus Vivobook 15 X1502ZA i5 1240P/8GB/512GB/Win11 (EJ120W),17590000,Asus,Intel Core i5 Tiger Lake,8,15.6,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác không giới hạn dung lượng)",Windows 11 Home SL,1.7,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-vivobook-15-x1502za-i5-ej120w
Laptop Asus VivoBook A415EA i5 1135G7/8GB/512GB/Win11 (AM1637W),16590000,Asus,Intel Core i5 Tiger Lake,8,14,Card tích hợp - Intel Iris Xe Graphics,SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Windows 11 Home SL,1.4,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-vivobook-a415ea-i5-am1637w
Laptop Asus ROG Strix Gaming G513IH R7 4800H/8GB/512GB/4GB GTX1650/144Hz/Win11 (HN015W),20190000,Asus,AMD Ryzen 7,8,15.6,Card rời - NVIDIA GeForce GTX 1650 4 GB,SSD,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),Windows 11 Home SL,2.1,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-rog-strix-gaming-g513ih-r7-hn015w
Laptop HP 240 G9 i5 1235U/8GB/512GB/Win11 (6L1Y2PA),18590000,HP,AMD Ryzen 7,8,14,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Windows 11 Home SL,1.47,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/hp-240-g9-i5-6l1y2pa
Laptop Acer Aspire A315 56 32TP i3 1005G1/4GB/256GB/Win11 (NX.HS5SV.00K),11990000,Acer,Intel Core i3 Comet Lake,4,15.6,Card tích hợp - Intel UHD Graphics,SSD,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 512 GB)",Windows 11 Home SL,1.7,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/acer-aspire-a315-56-32tp-i3-nxhs5sv00k
Laptop Asus VivoBook X415EA i3 1115G4/4GB/512GB/Win11 (EK1386W),10990000,Asus,Intel Core i3 Tiger Lake,4,14,Card tích hợp - Intel UHD Graphics,SSD,"256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 512 GB)",Windows 11 Home SL,1.6,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-vivobook-x415ea-i3-ek1386w
Laptop Dell XPS 13 Plus 9320 i7 1260P/16GB/512GB/Touch/Cáp/OfficeHS/Win11 (5CG56),59990000,Dell,Intel Core i3 Tiger Lake,16,13.4,Card tích hợp - Intel Iris Xe Graphics,SSD,512 GB SSD NVMe PCIe,Windows 11 Home SL + Office Home & Student vĩnh viễn,1.26,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/dell-xps-13-plus-9320-i7-5cg56
Laptop Apple MacBook Pro 16 M1 Pro 2021 10 core-CPU/16GB/512GB/16 core-GPU (MK183SA/A),53490000,MacBook,Apple M1 Pro,16,16.2,Card tích hợp - 16 nhân GPU,SSD,512 GB SSD,Mac OS,2.1,,10/2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/apple-pro-16-m1-pro-2021-10-core-cpu
Laptop Asus Zenbook Pro 14 Duo OLED UX8402ZE i7 12700H/16GB/1TB/4GB RTX3050Ti/Touch/Pen/Túi/Win11 (M3044W),51060000,Asus,Apple M1 Pro,16,14.5,"Card rời - NVIDIA GeForce RTX3050Ti, 4 GB",SSD,1 TB SSD M.2 PCIe,Windows 11 Home SL,1.75,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-zenbook-pro-14-duo-oled-ux8402z-i7-m3044w
Laptop LG gram 2022 i7 1260P/16GB/1TB/Win11 (17Z90Q-G.AH78A5),49790000,LG,Apple M1 Pro,16,17,Card tích hợp - Intel Iris Xe Graphics,SSD,1 TB SSD,Windows 11 Home SL,1.435,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lg-gram-2022-i7-17z90qgah78a5
Laptop LG gram 2022 i7 1260P/16GB/1TB/Win11 (16Z90Q-G.AH78A5),47790000,LG,Apple M1 Pro,16,16,Card tích hợp - Intel Iris Xe Graphics,SSD,1 TB SSD,Windows 11 Home SL,1.285,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lg-gram-2022-i7-16z90qgah78a5
Laptop LG gram 2022 i7 1260P/16GB/512GB/Win11 (17Z90Q-G.AH76A5),47790000,LG,Apple M1 Pro,16,17,Card tích hợp - Intel Iris Xe Graphics,SSD,512 GB SSD NVMe PCIe,Windows 11 Home SL,1.435,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lg-gram-2022-i7-17z90qgah76a5
Laptop Asus Gaming ROG Flow Z13 GZ301Z i7 12700H/16GB/512GB/4GB RTX3050/120Hz/Touch/Pen/Túi/Win11 (LD110W),52990000,Asus,Apple M1 Pro,16,13.4,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Windows 11 Home SL,1.18,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-gaming-rog-flow-z13-gz301z-i7-ld110w
Laptop Dell XPS 13 9320 i5 1240P/16GB/512GB/Touch/Cáp/OfficeHS/Win11 (70295789),46990000,Dell,Apple M1 Pro,16,13.4,Card tích hợp - Intel Iris Xe Graphics,SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",Windows 11 Home SL + Office Home & Student vĩnh viễn,1.26,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/dell-xps-13-9320-i5-70295789
Laptop Asus ROG Strix SCAR 15 G533ZM i7 12700H/16GB/512GB/6GB RTX3060/240Hz/Balo/Win11 (LN2210W),46790000,Asus,Apple M1 Pro,16,15.6,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",SSD,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB),Windows 11 Home SL,2.3,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-rog-strix-scar-15-g533z-i7-ln2210w
Laptop LG gram 2022 i7 1260P/16GB/512GB/Win11 (16Z90Q-G.AH76A5),45790000,LG,Apple M1 Pro,16,16,Card tích hợp - Intel Iris Xe Graphics,SSD,512 GB SSD NVMe PCIe,Windows 11 Home SL,1.285,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/lg-gram-2022-i7-16z90qgah76a5
Laptop Asus ROG Strix Gaming G513RM R7 6800H/16GB/512GB/6GB RTX3060/165Hz/Balo/Win11 (HQ055W),42190000,Asus,AMD Ryzen 7,16,15.6,"Card rời - NVIDIA GeForce RTX 3060, 6 GB",SSD,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),Windows 11 Home SL,2.3,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-rog-strix-gaming-g513r-r7-hq055w
Laptop MacBook Pro 14 M1 Pro 2021 8-core CPU/16GB/512GB/14-core GPU (MKGR3SA/A),,MacBook,Apple M1 Pro,16,14.2,Card tích hợp - 14 nhân GPU,SSD,512 GB SSD,Mac OS,1.6,,10/2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/macbook-pro-14-m1-pro-2021-8-core-cpu
Laptop Apple MacBook Pro M1 2020 16GB/512GB (Z11C),,MacBook,Apple M1,16,13.3,Card tích hợp - 8 nhân GPU,SSD,512 GB SSD,Mac OS,1.4,,2020,Dienmayxanh,https://www.dienmayxanh.com/laptop/apple-macbook-pro-2020-z11c
Laptop Apple MacBook Pro 13 inch M2 2022 16GB/256GB/10-core GPU (Z16R0003V),41990000,MacBook,Apple M1,16,13.3,Card tích hợp - 10 nhân GPU,SSD,256 GB SSD,Mac OS,1.4,,6/2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/apple-macbook-pro-m2-2022-16gb-256gb
Laptop Asus TUF Gaming FX517ZR i7 12650H/8GB/512GB/8GB RTX3070/144Hz/Win11 (HN086W),37890000,Asus,Apple M1,8,15.6,"Card rời - NVIDIA GeForce RTX 3070, 8 GB",SSD,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB),Windows 11 Home SL,2,,2022,Dienmayxanh,https://www.dienmayxanh.com/laptop/asus-tuf-gaming-fx517z-i7-hn086w
Laptop Dell XPS 13 9310 i5 1135G7/8GB/512GB/Cáp/Office H&S/Win11 (70273578),37790000,Dell,Intel Core i5 Tiger Lake,8,13.4,Card tích hợp - Intel Iris Xe Graphics,SSD,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",Windows 11 Home SL + Office Home & Student vĩnh viễn,1.2,,2021,Dienmayxanh,https://www.dienmayxanh.com/laptop/dell-xps-13-9310-i5-70273578
