id,name,brand,cpu,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,shop,price,url
608,Lenovo IdeaPad 3 Gaming 3 15IAH7-82S90086VN,LENOVO,Core i5,Intel,8,15.6,GeForce RTX3050Ti (4GB),Nvidia,512,SSD,Windows 11,2.3,Phongvu,25990000,https://phongvu.vn/laptop-lenovo-ideapad-3-gaming-3-15iah7-82s90086vn--s220700047?sku=220700047
609,Lenovo IdeaPad Gaming 3 15IAH7 - 82S90088VN,LENOVO,Core i5,Intel,8,15.6,GeForce RTX3050Ti (4GB),Nvidia,512,SSD,Windows 11,2.3,Phongvu,25390000,https://phongvu.vn/laptop-lenovo-ideapad-gaming-3-15iah7-82s90088vn--s220700825?sku=220700825
610,HP Elitebook 630 G9,HP,Core i5,Intel,8,13.3,Intel Iris Xe,Intel,512,SSD,Windows 11,1.3,Phongvu,20890000,https://phongvu.vn/laptop-hp-elitebook-630-g9-6m143pa--s220800852?sku=220800852
611,HP 240 G9,HP,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,256,SSD,Windows 11,1.4,Phongvu,16790000,https://phongvu.vn/laptop-hp-240-g9-6l1y1pa--s220800860?sku=220800860
612,LG Gram 14ZD90Q-G.AX31A5,LG,Core i3,Intel,8,14.0,Intel UHD 620,Intel,256,SSD,Windows 10,1.0,Phongvu,20990000,https://phongvu.vn/laptop-lg-gram-14zd90q-g-ax31a5--s220805953?sku=220805953
613,Dell Inspiron 16 5620,DELL,Core i5,Intel,8,16.0,Intel Iris Xe,Intel,512,SSD,Windows 11,1.9,Phongvu,22990000,https://phongvu.vn/dell-inspiron-16-5620-n5620-i5p165w11slu--s220914496?sku=220914496
614,Acer Nitro AN515-58-769J,ACER,Core i7,Intel,8,15.6,GeForce RTX3050 (4GB),Nvidia,512,SSD,Windows 11,2.5,Phongvu,28990000,https://phongvu.vn/acer-nitro-an515-58-769j--s220919561?sku=220919561
615,HP Pavilion 14-dv2070TU,HP,Core i3,Intel,8,14.0,Intel UHD 620,Intel,256,SSD,Windows 11,1.4,Phongvu,13990000,https://phongvu.vn/may-tinh-xach-tay-laptop-hp-pavilion-14-dv2070tu-core-i3-1215u--s221101769?sku=221101769
616,Asus Vivobook S433EA-AM439T,ASUS,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,512,SSD,Windows 10,1.4,Phongvu,16990000,https://phongvu.vn/asus-vivobook-s433ea-am439t--s210100403?sku=210100403
617,Dell Latitude 3420-L3420I5SSD,DELL,Core i5,Intel,8,14.0,Intel Iris Xe,Intel,256,SSD,Mac OS,1.5,Phongvu,21490000,https://phongvu.vn/dell-latitude-3420-i5-ssd--s210602259?sku=210602259
