id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
180378151,6517783474104,Bình giữ nhiệt LocknLock Metro Drive LHC4277S có miếng lót tay chống trượt giúp cầm nắm chắc chắn trong lúc điều khiển xe.Thiết kế phần đáy thon gọn hoàn toàn khít với chỗ giữ cốc trên xe ô tô. Giữ ...,290000,579000,,289000,50,128,,available,,1000,1000,,48077,Lock&Lock
88222310,9286377966406,"Khăn trải bàn nhựa PVC không thấm nước là vật dụng không thể thiếu trong gian bếp của bạn.Hoa văn độc đáo, hiện đại giúp cho gian bếp của bạn trở nên sang trọng hơn.Hoàn toàn không mùi vị và không t...",35000,35000,,0,0,221,,available,,1000,1000,,4401579,SHOFUKA
59273521,3572255983751,"Khăn tắm siêu thấm chính hãng Funu.- Được thiết kế chuyên dụng cho vệ sinh cơ thể.- Siêu thấm hút nhanh, khử mùi, kháng khuẩn, mềm mại.- Là sản phẩm tiện ích cần thiết cho gia đình bạn.- Chất liệu...",82000,99000,,17000,17,36,,available,,1000,1000,,839837,FuNu
35058677,5751695460376,"THÔNG SỐ KĨ THUẬTHiệu điện thế : 3 VĐặc Tính : Pin LithiumKích thước : 16 x 3,2 mmDùng Phổ Biến cho Remote ô tô , xe máy , cân điện tử , đồng hồ , máy đo kĩ thuật Với công nghệ vượt trội . Pin Pa...",82000,82000,,0,0,190,,available,,1000,1000,,18804,Panasonic
118898224,4791154451286,Tiêu chuẩn để có một ly cà phê tuyệt hảoPhin cà phê là một vật dụng không thể thiếu đối với những người yêu – đam mê cà phê. Nhưng bạn có biết đâu mới là một chiếc phin tốt nhất để cho ra những ly cà...,75000,75000,,0,0,60,,available,,1000,1000,,517665,Trung Nguyên Legend
70820849,1743485832108,Pin CR2032 Energizer 3V chính hãng  • Loại pin: Pin Lithium.  • Hãng: Energizer (USA).  • Model: Energizer CR2032.  • Điện thế: 3V.  • Kích thước: Pin CR2032/ Pin cúc áo/ Pin đồng xu/ 5004LC/ BR2032/...,59000,59000,,0,0,204,,available,,1000,1000,,19312,Energizer
67937873,6196849408474,"Tấm bảo vệ Everon white sản phẩm sản xuất từ vải TC cao cấp được chần thêm lớp bông cao cấp micro.Tấm bảo vệ bảo vệ đệm sạch hơn,dễ dàng vệ sinh thay tháo, giúp giữ nhiệt tốt khi thời tiết giá lạnh ...",325000,370000,,45000,12,97,,available,,1000,1000,,148559,Everon
7635008,4685277957415,Giới thiệu cuộn túi hút chân không thực phẩm dùng cho máy hút chân khôngTúi PA/PE hút chân không là các túi dùng để bảo quản thực phẩm bên trong và được xử lý theo công nghệ rút chân không bằng máy h...,60000,60000,,0,0,148,,available,,1000,1000,,111461,OEM
199036961,7444608346707,"Giới thiệu sản phẩmChảo chiên Tefal Primary 20cm Đáy bằng thép không gỉ gia cố giúp tản nhiệt cực tốt. (Tương thích với tất cả các loại bếp, kể cả bếp từ)Lớp phủ chống dính Titanium bền vượt tr...",264000,479000,,215000,45,44,,available,,1000,1000,,19813,Tefal
1575707,7303576945731,"Bình Giữ Nhiệt Lock&Lock New Basic Table LHC4026 là sản phẩm được thiết kế với kiểu dáng nhỏ gọn kết hợp với màu sắc sang trọng, tiện lợi cho bạn mang theo đến văn phòng, trường học hay đi dã ng...",212000,424000,,212000,50,1282,,available,,1000,1000,,48077,Lock&Lock
75614459,7699746662899,"  Thùng rác treo tủ Parroti Bin là một sản phẩm đột phá của hãng, thùng rác có thể được treo gọn gàng trước cửa tủ bếp bằng thanh ray hoặc miếng dán tường, rất thuận tiện cho việc di chuyển nhi...",169000,299000,,130000,43,1808,,available,,1000,1000,,746615,Parroti
2151853,7734857940839,"Ly Giữ Nhiệt Lock&Lock Swing Tumbler - Bạc là một trong số những loại ly giữ nhiệt được nhiều người yêu thích và tin dùng bởi khả năng giữ nhiệt tốt, rất thích hợp cho những chuyến dã ngoại, ...",321000,495000,,174000,35,1581,,available,,1000,1000,,48077,Lock&Lock
